49,840,-889,4067,4792,3208
24,853,-877,4033,4793,3207
0,865,-865,4000,4793,3207
-24,877,-853,3967,4793,3207
-49,888,-839,3933,4791,3209
-73,899,-826,3900,4790,3210
-98,910,-812,3866,4789,3211
-122,920,-798,3833,4787,3213
-146,929,-783,3800,4784,3216
-170,938,-768,3767,4782,3218
-195,945,-750,3732,4777,3223
-219,953,-734,3699,4773,3227
-242,961,-719,3668,4770,3230
-266,966,-700,3635,4763,3237
-290,972,-682,3602,4758,3242
-313,977,-664,3570,4752,3248
-336,982,-646,3538,4746,3254
-359,986,-627,3507,4739,3261
-382,990,-608,3475,4732,3268
-405,993,-588,3443,4724,3276
-427,994,-567,3413,4715,3285
-449,997,-548,3383,4708,3292
-471,997,-526,3353,4698,3302
-492,999,-507,3324,4690,3310
-514,999,-485,3307,4693,3333
-535,997,-462,3298,4702,3365
-555,996,-441,3289,4711,3394
-575,994,-419,3281,4719,3424
-595,992,-397,3273,4727,3454
-615,989,-374,3265,4735,3486
-634,986,-352,3258,4742,3516
-653,981,-328,3251,4749,3549
-671,975,-304,3246,4754,3582
-689,970,-281,3240,4760,3614
-707,965,-258,3234,4766,3646
-724,958,-234,3229,4771,3679
-740,951,-211,3225,4775,3710
-757,943,-186,3221,4779,3745
-773,935,-162,3217,4783,3778
-788,926,-138,3215,4785,3811
-803,916,-113,3212,4788,3845
-817,905,-88,3211,4789,3879
-831,895,-64,3209,4791,3912
-844,885,-41,3208,4792,3944
-857,873,-16,3207,4793,3978
-870,861,9,3207,4793,4012
-881,847,34,3208,4792,4046
-893,834,59,3209,4791,4081
-903,820,83,3210,4790,4114
-914,807,107,3211,4789,4147
-923,791,132,3215,4785,4181
-932,776,156,3217,4783,4214
-941,760,181,3221,4779,4248
-949,745,204,3224,4776,4280
-956,729,227,3228,4772,4312
-963,711,252,3233,4767,4346
-970,694,276,3238,4762,4379
-975,676,299,3244,4756,4411
-980,658,322,3249,4751,4442
-985,639,346,3256,4744,4475
-989,620,369,3263,4737,4507
-992,601,391,3270,4730,4537
-995,581,414,3278,4722,4569
-997,561,436,3286,4714,4599
-998,541,457,3295,4705,4628
-999,519,480,3304,4696,4660
-1000,500,500,3313,4687,4687
-999,479,520,3304,4658,4696
-998,457,541,3295,4628,4705
-997,435,562,3286,4598,4714
-995,413,582,3277,4568,4723
-992,391,601,3270,4537,4730
-989,368,621,3262,4506,4738
-985,345,640,3255,4474,4745
-980,322,658,3249,4442,4751
-975,298,677,3243,4409,4757
-970,276,694,3238,4379,4762
-963,251,712,3233,4345,4767
-956,227,729,3228,4312,4772
-949,203,746,3223,4279,4777
-941,180,761,3220,4247,4780
-932,156,776,3217,4214,4783
-923,131,792,3214,4180,4786
-914,107,807,3211,4147,4789
-903,82,821,3210,4112,4790
-893,58,835,3208,4079,4792
-881,33,848,3208,4045,4792
-870,9,861,3207,4012,4793
-857,-17,874,3207,3977,4793
-844,-41,885,3208,3944,4792
-831,-65,896,3209,3911,4791
-817,-89,906,3210,3878,4790
-803,-114,917,3212,3844,4788
-788,-138,926,3215,3811,4785
-773,-163,936,3217,3776,4783
-757,-187,944,3221,3743,4779
-740,-211,951,3225,3710,4775
-724,-234,958,3229,3679,4771
-707,-259,966,3233,3644,4767
-689,-282,971,3239,3613,4761
-671,-305,976,3245,3581,4755
-653,-329,982,3251,3548,4749
-634,-352,986,3258,3516,4742
-615,-375,990,3265,3485,4735
-595,-398,993,3272,3453,4728
-575,-420,995,3281,3423,4719
-555,-442,997,3289,3393,4711
-535,-463,998,3298,3364,4702
-514,-485,999,3307,3333,4693
-492,-507,999,3324,3310,4690
-471,-527,998,3353,3301,4699
-449,-549,998,3383,3291,4709
-427,-568,995,3413,3284,4716
-405,-589,994,3443,3275,4725
-382,-608,990,3475,3268,4732
-359,-628,987,3507,3260,4740
-336,-646,982,3538,3254,4746
-313,-665,978,3570,3247,4753
-290,-682,972,3602,3242,4758
-266,-700,966,3635,3237,4763
-242,-719,961,3668,3230,4770
-219,-735,954,3699,3226,4774
-195,-751,946,3732,3222,4778
-170,-768,938,3767,3218,4782
-146,-783,929,3800,3216,4784
-122,-798,920,3833,3213,4787
-98,-812,910,3866,3211,4789
-73,-827,900,3900,3209,4791
-49,-840,889,3933,3208,4792
-24,-853,877,3967,3207,4793
